SIC Code,Exiobase mapping,Industry Title
3825,"Medical, precision and optical instruments, watches and clocks (33)",INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
3826,"Medical, precision and optical instruments, watches and clocks (33)",LABORATORY ANALYTICAL INSTRUMENTS
3827,"Medical, precision and optical instruments, watches and clocks (33)",OPTICAL INSTRUMENTS & LENSES
3829,"Medical, precision and optical instruments, watches and clocks (33)","MEASURING & CONTROLLING DEVICES, NEC"
3841,"Medical, precision and optical instruments, watches and clocks (33)",SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
3842,"Medical, precision and optical instruments, watches and clocks (33)","ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
3843,"Medical, precision and optical instruments, watches and clocks (33)",DENTAL EQUIPMENT & SUPPLIES
3844,"Medical, precision and optical instruments, watches and clocks (33)",X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS
3845,"Medical, precision and optical instruments, watches and clocks (33)",ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS
3851,"Medical, precision and optical instruments, watches and clocks (33)",OPHTHALMIC GOODS
3861,"Medical, precision and optical instruments, watches and clocks (33)",PHOTOGRAPHIC EQUIPMENT & SUPPLIES
3873,"Medical, precision and optical instruments, watches and clocks (33)","WATCHES, CLOCKS, CLOCKWORK OPERATED DEVICES/PARTS"
3910,Furniture; other manufactured goods n.e.c. (36),"JEWELRY, SILVERWARE & PLATED WARE"
3911,Precious metals,"JEWELRY, PRECIOUS METAL"
3931,Furniture; other manufactured goods n.e.c. (36),MUSICAL INSTRUMENTS
3942,Furniture; other manufactured goods n.e.c. (36),DOLLS & STUFFED TOYS
3944,Furniture; other manufactured goods n.e.c. (36),"GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES)"
3949,Furniture; other manufactured goods n.e.c. (36),"SPORTING & ATHLETIC GOODS, NEC"
3950,Furniture; other manufactured goods n.e.c. (36),"PENS, PENCILS & OTHER ARTISTS' MATERIALS"
3960,Furniture; other manufactured goods n.e.c. (36),COSTUME JEWELRY & NOVELTIES
3990,Furniture; other manufactured goods n.e.c. (36),MISCELLANEOUS MANUFACTURING INDUSTRIES
4011,Railway transportation services,"RAILROADS, LINE-HAUL OPERATING"
4013,Railway transportation services,RAILROAD SWITCHING & TERMINAL ESTABLISHMENTS
4100,Other land transportation services,LOCAL & SUBURBAN TRANSIT & INTERURBAN HWY PASSENGER TRANS
4210,Other land transportation services,TRUCKING & COURIER SERVICES (NO AIR)
4213,Other land transportation services,TRUCKING (NO LOCAL)
4220,Supporting and auxiliary transport services; travel agency services (63),PUBLIC WAREHOUSING & STORAGE
4231,Supporting and auxiliary transport services; travel agency services (63),TERMINAL MAINTENANCE FACILITIES FOR MOTOR FREIGHT TRANSPORT
4400,Sea and coastal water transportation services,WATER TRANSPORTATION
4412,Sea and coastal water transportation services,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT
4512,Air transport services (62),"AIR TRANSPORTATION, SCHEDULED"
4513,Air transport services (62),AIR COURIER SERVICES
4522,Air transport services (62),"AIR TRANSPORTATION, NONSCHEDULED"
4581,Supporting and auxiliary transport services; travel agency services (63),"AIRPORTS, FLYING FIELDS & AIRPORT TERMINAL SERVICES"
4610,Transportation services via pipelines,PIPE LINES (NO NATURAL GAS)
4700,Supporting and auxiliary transport services; travel agency services (63),TRANSPORTATION SERVICES
4731,Supporting and auxiliary transport services; travel agency services (63),ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO
4812,Post and telecommunication services (64),RADIOTELEPHONE COMMUNICATIONS
4813,Post and telecommunication services (64),TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)
4822,Post and telecommunication services (64),TELEGRAPH & OTHER MESSAGE COMMUNICATIONS
4832,Post and telecommunication services (64),RADIO BROADCASTING STATIONS
4833,Post and telecommunication services (64),TELEVISION BROADCASTING STATIONS
4841,Post and telecommunication services (64),CABLE & OTHER PAY TELEVISION SERVICES
4899,Post and telecommunication services (64),"COMMUNICATIONS SERVICES, NEC"
4900,Electricity nec,"ELECTRIC, GAS & SANITARY SERVICES"
4911,Electricity nec,ELECTRIC SERVICES
4922,Distribution services of gaseous fuels through mains,NATURAL GAS TRANSMISSION
4923,Distribution services of gaseous fuels through mains,NATURAL GAS TRANSMISISON & DISTRIBUTION
4924,Distribution services of gaseous fuels through mains,NATURAL GAS DISTRIBUTION
4931,Distribution and trade services of electricity,ELECTRIC & OTHER SERVICES COMBINED
4932,Distribution services of gaseous fuels through mains,GAS & OTHER SERVICES COMBINED
4941,"Collected and purified water, distribution services of water (41)",WATER SUPPLY
4950,Other waste for treatment: waste water treatment,SANITARY SERVICES
4953,Secondary raw materials,REFUSE SYSTEMS
4955,Oil/hazardous waste for treatment: incineration,HAZARDOUS WASTE MANAGEMENT
4961,Steam and hot water supply services,STEAM & AIR-CONDITIONING SUPPLY
4991,Electricity nec,COGENERATION SERVICES & SMALL POWER PRODUCERS
5000,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-DURABLE GOODS
5010,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES
5013,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS
5020,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-FURNITURE & HOME FURNISHINGS
5030,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS
5031,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)","WHOLESALE-LUMBER, PLYWOOD, MILLWORK & WOOD PANELS"
5040,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-PROFESSIONAL & COMMERCIAL EQUIPMENT & SUPPLIES
5045,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-COMPUTERS & PERIPHERAL EQUIPMENT & SOFTWARE
5047,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)","WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES"
5050,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-METALS & MINERALS (NO PETROLEUM)
5051,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-METALS SERVICE CENTERS & OFFICES
5063,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)","WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES"
5064,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)","WHOLESALE-ELECTRICAL APPLIANCES, TV & RADIO SETS"
5065,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)","WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC"
5070,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES
5072,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-HARDWARE
5080,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)","WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES"
5082,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-CONSTRUCTION & MINING (NO PETRO) MACHINERY & EQUIP
5084,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT
5090,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-MISC DURABLE GOODS
5094,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)","WHOLESALE-JEWELRY, WATCHES, PRECIOUS STONES & METALS"
5099,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)","WHOLESALE-DURABLE GOODS, NEC"
5110,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-PAPER & PAPER PRODUCTS
5122,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)","WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES"
5130,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)","WHOLESALE-APPAREL, PIECE GOODS & NOTIONS"
5140,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-GROCERIES & RELATED PRODUCTS
5141,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)","WHOLESALE-GROCERIES, GENERAL LINE"
5150,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-FARM PRODUCT RAW MATERIALS
5160,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-CHEMICALS & ALLIED PRODUCTS
5171,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-PETROLEUM BULK STATIONS & TERMINALS
5172,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)
5180,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)","WHOLESALE-BEER, WINE & DISTILLED ALCOHOLIC BEVERAGES"
5190,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",WHOLESALE-MISCELLANEOUS NONDURABLE GOODS
5200,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)","RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY"
5211,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS
5271,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-MOBILE HOME DEALERS
5311,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-DEPARTMENT STORES
5331,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-VARIETY STORES
5399,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-MISC GENERAL MERCHANDISE STORES
5400,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-FOOD STORES
5411,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-GROCERY STORES
5412,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-CONVENIENCE STORES
5500,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-AUTO DEALERS & GASOLINE STATIONS
5531,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-AUTO & HOME SUPPLY STORES
5600,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-APPAREL & ACCESSORY STORES
5621,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-WOMEN'S CLOTHING STORES
5651,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-FAMILY CLOTHING STORES
5661,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-SHOE STORES
5700,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)","RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES"
5712,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-FURNITURE STORES
5731,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)","RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES"
5734,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-COMPUTER & COMPUTER SOFTWARE STORES
5735,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-RECORD & PRERECORDED TAPE STORES
5810,Hotel and restaurant services (55),RETAIL-EATING & DRINKING PLACES
5812,Hotel and restaurant services (55),RETAIL-EATING PLACES
5900,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-MISCELLANEOUS RETAIL
5912,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-DRUG STORES AND PROPRIETARY STORES
5940,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-MISCELLANEOUS SHOPPING GOODS STORES
5944,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-JEWELRY STORES
5945,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)","RETAIL-HOBBY, TOY & GAME SHOPS"
5960,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-NONSTORE RETAILERS
5961,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RETAIL-CATALOG & MAIL-ORDER HOUSES
5990,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)","RETAIL-RETAIL STORES, NEC"
6021,"Financial intermediation services, except insurance and pension funding services (65)",NATIONAL COMMERCIAL BANKS
6022,"Financial intermediation services, except insurance and pension funding services (65)",STATE COMMERCIAL BANKS
6029,"Financial intermediation services, except insurance and pension funding services (65)","COMMERCIAL BANKS, NEC"
6035,"Financial intermediation services, except insurance and pension funding services (65)","SAVINGS INSTITUTION, FEDERALLY CHARTERED"
