SIC Code,Exiobase mapping,Industry Title
7997,"Recreational, cultural and sporting services (92)",SERVICES-MEMBERSHIP SPORTS & RECREATION CLUBS
8000,Health and social work services (85),SERVICES-HEALTH SERVICES
8011,Health and social work services (85),SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE
8050,Health and social work services (85),SERVICES-NURSING & PERSONAL CARE FACILITIES
8051,Health and social work services (85),SERVICES-SKILLED NURSING CARE FACILITIES
8060,Health and social work services (85),SERVICES-HOSPITALS
8062,Health and social work services (85),"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC"
8071,Health and social work services (85),SERVICES-MEDICAL LABORATORIES
8082,Health and social work services (85),SERVICES-HOME HEALTH CARE SERVICES
8090,Health and social work services (85),"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC"
8093,Health and social work services (85),"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC"
8111,Other business services (74),SERVICES-LEGAL SERVICES
8200,Education services (80),SERVICES-EDUCATIONAL SERVICES
8300,Health and social work services (85),SERVICES-SOCIAL SERVICES
8351,Health and social work services (85),SERVICES-CHILD DAY CARE SERVICES
8600,Membership organisation services n.e.c. (91),SERVICES-MEMBERSHIP ORGANIZATIONS
8700,Other business services (74),"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT"
8711,Other business services (74),SERVICES-ENGINEERING SERVICES
8731,Research and development services (73),SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
8734,Research and development services (73),SERVICES-TESTING LABORATORIES
8741,Other business services (74),SERVICES-MANAGEMENT SERVICES
8742,Other business services (74),SERVICES-MANAGEMENT CONSULTING SERVICES
8744,Other business services (74),SERVICES-FACILITIES SUPPORT MANAGEMENT SERVICES
8880,,AMERICAN DEPOSITARY RECEIPTS
8888,Public administration and defence services; compulsory social security services (75),FOREIGN GOVERNMENTS
8900,Other business services (74),"SERVICES-SERVICES, NEC"
9721,Extra-territorial organizations and bodies,INTERNATIONAL AFFAIRS
9995,,NON-OPERATING ESTABLISHMENTS
